,wavelength,flux
69,1309.0021,8.182077432461073e-21
70,1309.1329,8.511325657828268e-21
71,1309.2639,8.532226117444814e-21
72,1309.3949,8.61550189535433e-21
73,1309.5259,8.524026236549004e-21
74,1309.6569,8.743685434012344e-21
75,1309.7878,8.802245717871503e-21
76,1309.9188,8.796005968357035e-21
77,1310.0498,8.89628671171673e-21
78,1310.1808,8.990066822789154e-21
79,1310.3119,8.932793444803555e-21
80,1310.4429,9.001100915173175e-21
81,1310.574,9.012501506610068e-21
82,1310.7051,9.204258864838169e-21
83,1310.8362,9.193973259249381e-21
84,1310.9673,9.25935178257505e-21
85,1311.0984,9.319153935024095e-21
86,1311.2295,9.340639500060507e-21
87,1311.3607,9.418729474445653e-21
88,1311.4918,9.591479769855157e-21
89,1311.623,9.737288790120791e-21
90,1311.7542,9.601130778595015e-21
91,1311.8854,9.576938946826884e-21
92,1312.0166,9.685286572669396e-21
93,1312.1478,9.587526412508124e-21
94,1312.279,1.0015546505704777e-20
95,1312.4103,9.827841314671841e-21
96,1312.5415,1.0015225122278946e-20
97,1312.6729,9.943195519602944e-21
98,1312.8041,9.982582010415934e-21
99,1312.9354,1.0130369634218079e-20
100,1313.0668,1.0266024279169926e-20
101,1313.1981,1.0054366271034287e-20
102,1313.3295,1.0459893549461076e-20
103,1313.4608,1.0439277331365014e-20
104,1313.5922,1.0322142464674512e-20
105,1313.7235,1.0529556426948217e-20
106,1313.8549,1.0305426395409315e-20
107,1313.9863,1.0530080531006829e-20
108,1314.1177,1.0420640124367248e-20
109,1314.2491,1.0450741725424354e-20
110,1314.3806,1.0729822378743605e-20
111,1314.5121,1.073246475443848e-20
112,1314.6436,1.0474093049362274e-20
113,1314.775,1.0611637030411244e-20
114,1314.9065,1.0623956218583857e-20
115,1315.0381,1.0853313573933712e-20
116,1315.1696,1.1034764722143156e-20
117,1315.3011,1.0892640021120497e-20
118,1315.4326,1.1004370158950313e-20
119,1315.5642,1.0872883303173636e-20
120,1315.6958,1.1118038515895076e-20
121,1315.8274,1.0733966896983495e-20
122,1315.959,1.0955585902547575e-20
123,1316.0906,1.1062532564299525e-20
124,1316.2223,1.1096369047095054e-20
125,1316.3539,1.1170540457360754e-20
126,1316.4856,1.1145977186238771e-20
127,1316.6172,1.1210716522637606e-20
128,1316.7489,1.1222974920210082e-20
129,1316.8806,1.1196873994526924e-20
130,1317.0123,1.1181345388457071e-20
131,1317.144,1.1382883676967384e-20
132,1317.2758,1.1439165180731599e-20
133,1317.4075,1.113683379093124e-20
134,1317.5393,1.1354859876858206e-20
135,1317.671,1.1381724400329805e-20
136,1317.8029,1.1424704106297477e-20
137,1317.9347,1.1322486675018707e-20
138,1318.0664,1.1469091531870734e-20
139,1318.1982,1.1337847340792561e-20
140,1318.3301,1.1549054769911866e-20
141,1318.462,1.1396664685035293e-20
142,1318.5939,1.148297278542649e-20
143,1318.7257,1.1399321289615488e-20
144,1318.8577,1.1532521526328028e-20
145,1318.9895,1.1594428642495304e-20
146,1319.1215,1.1641050265614927e-20
147,1319.2534,1.1584348285065435e-20
148,1319.3854,1.1845908784182583e-20
149,1319.5173,1.1397840348126282e-20
150,1319.6493,1.180402594755944e-20
151,1319.7812,1.1638265701470778e-20
152,1319.9132,1.2171377224516303e-20
153,1320.0453,1.1962639820375407e-20
154,1320.1772,1.1890441940328795e-20
155,1320.3093,1.205031086219331e-20
156,1320.4414,1.1752132610708868e-20
157,1320.5735,1.177129049538632e-20
158,1320.7056,1.1842061035818968e-20
159,1320.8376,1.2087582592378409e-20
160,1320.9697,1.2060981047091617e-20
161,1321.1018,1.1898359809195512e-20
162,1321.234,1.1971658035727842e-20
163,1321.3661,1.2006885326037241e-20
164,1321.4983,1.1795848081400655e-20
